rate_date,from_currency,to_currency,rate
2023-10-15,EUR,ZAR,20
2023-10-15,USD,EUR,0.92
2023-10-15,USD,IDR,15833.33
2023-11-15,EUR,ZAR,20
2023-11-15,USD,EUR,0.92
2023-11-15,USD,IDR,15833.33
2023-12-15,EUR,ZAR,20
2023-12-15,USD,EUR,0.92
2023-12-15,USD,IDR,15833.33
2024-01-15,EUR,ZAR,20
2024-01-15,USD,EUR,0.92
2024-01-15,USD,IDR,15833.33
2024-01-15,USD,INR,83.33
2024-02-15,EUR,ZAR,20
2024-02-15,USD,EUR,0.92
2024-02-15,USD,IDR,15833.33
2024-02-15,USD,INR,83.33
2024-03-15,EUR,ZAR,20
2024-03-15,USD,EUR,0.92
2024-03-15,USD,IDR,15833.33
2024-03-15,USD,INR,83.33
2024-04-15,EUR,USD,1.09
2024-04-15,EUR,ZAR,20
2024-04-15,USD,EUR,0.92
2024-04-15,USD,IDR,15833.33
2024-04-15,USD,INR,83.33
2024-05-15,EUR,USD,1.09
2024-05-15,EUR,ZAR,20
2024-05-15,USD,EUR,0.92
2024-05-15,USD,IDR,15833.33
2024-05-15,USD,INR,83.33
2024-06-15,EUR,USD,1.09
2024-06-15,USD,EUR,0.92
2024-06-15,USD,INR,83.33
2024-07-15,EUR,USD,1.09
2024-07-15,USD,EUR,0.92
2024-07-15,USD,INR,83.33
2024-08-15,EUR,USD,1.09
2024-08-15,USD,EUR,0.92
2024-08-15,USD,INR,83.33
2024-09-15,EUR,USD,1.09
2024-09-15,USD,EUR,0.92
2024-09-15,USD,IDR,15833.33
2024-09-15,USD,INR,83.33
2024-10-15,EUR,USD,1.09
2024-10-15,USD,EUR,0.92
2024-10-15,USD,IDR,15833.33
2024-10-15,USD,INR,83.33
2024-11-15,EUR,USD,1.09
2024-11-15,USD,EUR,0.92
2024-11-15,USD,IDR,15833.33
2024-11-15,USD,INR,83.33
2024-12-15,EUR,ZAR,20
2024-12-15,USD,EUR,0.92
2024-12-15,USD,IDR,15833.33
2024-12-15,USD,INR,83.33
2025-01-15,EUR,ZAR,20
2025-01-15,USD,EUR,0.92
2025-01-15,USD,IDR,15833.33
2025-01-15,USD,INR,83.33
2025-02-15,EUR,ZAR,20
2025-02-15,USD,EUR,0.92
2025-02-15,USD,IDR,15833.33
2025-02-15,USD,INR,83.33
2025-03-15,EUR,ZAR,20
2025-03-15,USD,IDR,15833.33
2025-04-15,EUR,ZAR,20
2025-04-15,USD,IDR,15833.33
2025-05-15,EUR,ZAR,20
2025-05-15,USD,IDR,15833.33
2025-06-15,EUR,USD,1.09
2025-06-15,EUR,ZAR,20
2025-06-15,USD,IDR,15833.33
2025-06-15,USD,INR,83.33
2025-07-15,EUR,USD,1.09
2025-07-15,EUR,ZAR,20
2025-07-15,USD,IDR,15833.33
2025-07-15,USD,INR,83.33
2025-08-15,EUR,USD,1.09
2025-08-15,EUR,ZAR,20
2025-08-15,USD,EUR,0.92
2025-08-15,USD,IDR,15833.33
2025-08-15,USD,INR,83.33
2025-09-15,EUR,USD,1.09
2025-09-15,EUR,ZAR,20
2025-09-15,USD,EUR,0.92
2025-09-15,USD,IDR,15833.33
2025-09-15,USD,INR,83.33
2025-10-01,USD,INR,83.33
2025-10-15,EUR,USD,1.09
2025-10-15,EUR,ZAR,20
2025-10-15,USD,EUR,0.92
2025-10-15,USD,IDR,15833.33
2025-10-15,USD,INR,83.33
2025-11-15,EUR,USD,1.09
2025-11-15,EUR,ZAR,20
2025-11-15,USD,EUR,0.92
2025-11-15,USD,IDR,15833.33
2025-11-15,USD,INR,83.33
2025-12-15,EUR,USD,1.09
2025-12-15,EUR,ZAR,20
2025-12-15,USD,EUR,0.92
2025-12-15,USD,IDR,15833.33
2025-12-15,USD,INR,83.33
2026-01-15,EUR,USD,1.09
2026-01-15,EUR,ZAR,20
2026-01-15,USD,EUR,0.92
2026-01-15,USD,IDR,15833.33
2026-01-15,USD,INR,83.33
2026-02-15,EUR,USD,1.09
2026-02-15,USD,EUR,0.92
2026-02-15,USD,IDR,15833.33
2026-02-15,USD,INR,83.33
2026-03-15,EUR,USD,1.09
2026-03-15,USD,EUR,0.92
2026-03-15,USD,IDR,15833.33
2026-03-15,USD,INR,83.33
2026-04-15,EUR,USD,1.09
2026-04-15,USD,IDR,15833.33
2026-04-15,USD,INR,83.33
2026-05-15,EUR,USD,1.09
2026-05-15,USD,IDR,15833.33
2026-05-15,USD,INR,83.33
2026-06-15,EUR,USD,1.09
2026-06-15,USD,IDR,15833.33
2026-06-15,USD,INR,83.33
2026-07-15,EUR,USD,1.09
2026-07-15,USD,INR,83.33
2026-08-15,EUR,USD,1.09
2026-08-15,USD,INR,83.33
2026-09-15,EUR,USD,1.09
2026-09-15,USD,INR,83.33
2026-10-15,USD,INR,83.33
2026-11-15,USD,INR,83.33
