event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount
event_01,user_01,expense,Apartment rent transfer,rent,debit,5148,ZAR,2023-10-02,2023-10-02,settled,,fixed,
event_02,user_01,expense,Household utility payment,utilities,debit,1475.46,ZAR,2023-10-06,2023-10-06,settled,,fixed,
event_03,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-10-08,2023-10-08,settled,,fixed,
event_04,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,ZAR,2023-10-11,2023-10-11,settled,,fixed,
event_05,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-10-11,2023-10-11,settled,,fixed,
event_06,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-10-13,2023-10-13,settled,,stoppable,
event_07,user_01,expense,Apartment rent transfer,rent,debit,5148,ZAR,2023-11-02,2023-11-02,settled,,fixed,
event_08,user_01,expense,Household utility payment,utilities,debit,1483.81,ZAR,2023-11-06,2023-11-06,settled,,fixed,
event_09,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-11-08,2023-11-08,settled,,fixed,
event_10,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,ZAR,2023-11-11,2023-11-11,settled,,fixed,
event_11,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-11-11,2023-11-11,settled,,fixed,
event_12,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-11-13,2023-11-13,settled,,stoppable,
event_13,user_01,expense,Apartment rent transfer,rent,debit,5148,ZAR,2023-12-02,2023-12-02,settled,,fixed,
event_14,user_01,expense,Household utility payment,utilities,debit,1541.75,ZAR,2023-12-06,2023-12-06,settled,,fixed,
event_15,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-12-08,2023-12-08,settled,,fixed,
event_16,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,ZAR,2023-12-11,2023-12-11,settled,,fixed,
event_17,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-12-11,2023-12-11,settled,,fixed,
event_18,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-12-13,2023-12-13,settled,,stoppable,
event_19,user_01,expense,Apartment rent transfer,rent,debit,5148,ZAR,2024-01-02,2024-01-02,settled,,fixed,
event_20,user_01,expense,Household utility payment,utilities,debit,1651.81,ZAR,2024-01-06,2024-01-06,settled,,fixed,
event_21,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2024-01-08,2024-01-08,settled,,fixed,
event_22,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,ZAR,2024-01-11,2024-01-11,settled,,fixed,
event_23,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2024-01-11,2024-01-11,settled,,fixed,
event_24,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2024-01-13,2024-01-13,settled,,stoppable,
event_25,user_01,income,Prorated first salary,salary,credit,12826,ZAR,2024-02-15,2024-02-15,settled,,fixed,
event_26,user_01,expense,Apartment rent transfer,rent,debit,5148,ZAR,2024-02-02,2024-02-02,settled,,fixed,
event_27,user_01,expense,Household utility payment,utilities,debit,1386.17,ZAR,2024-02-06,2024-02-06,settled,,fixed,
event_28,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2024-02-08,2024-02-08,settled,,fixed,
event_29,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487,ZAR,2024-02-11,2024-02-11,settled,,fixed,
event_30,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2024-02-11,2024-02-11,settled,,fixed,
event_31,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2024-02-13,2024-02-13,settled,,stoppable,
event_32,user_01,expense,Apartment rent transfer,rent,debit,5148,ZAR,2024-03-02,2024-03-02,settled,,fixed,
event_33,user_01,expense,Neighbourhood grocer,groceries,debit,925.62,ZAR,2023-09-08,2023-09-08,settled,,fixed,
event_34,user_01,expense,Neighbourhood grocer,groceries,debit,939.13,ZAR,2023-09-15,2023-09-15,settled,,fixed,
event_35,user_01,expense,Bulk pantry shop,groceries,debit,707.36,ZAR,2023-09-22,2023-09-22,settled,,fixed,
event_36,user_01,expense,Grocery delivery,groceries,debit,629.96,ZAR,2023-09-29,2023-09-29,settled,,fixed,
event_37,user_01,expense,Local market purchase,groceries,debit,873.17,ZAR,2023-10-06,2023-10-06,settled,,fixed,
event_38,user_01,expense,Bulk pantry shop,groceries,debit,915.12,ZAR,2023-10-13,2023-10-13,settled,,fixed,
event_39,user_01,expense,Fresh food shop,groceries,debit,644.3,ZAR,2023-10-20,2023-10-20,settled,,fixed,
event_40,user_01,expense,Fresh food shop,groceries,debit,663.27,ZAR,2023-10-27,2023-10-27,settled,,fixed,
event_41,user_01,expense,Grocery delivery,groceries,debit,1030.1,ZAR,2023-11-03,2023-11-03,settled,,fixed,
event_42,user_01,expense,Neighbourhood grocer,groceries,debit,672.37,ZAR,2023-11-10,2023-11-10,settled,,fixed,
event_43,user_01,expense,Local market purchase,groceries,debit,803.55,ZAR,2023-11-17,2023-11-17,settled,,fixed,
event_44,user_01,expense,Local market purchase,groceries,debit,644.43,ZAR,2023-11-24,2023-11-24,settled,,fixed,
event_45,user_01,expense,Household groceries,groceries,debit,882.48,ZAR,2023-12-01,2023-12-01,settled,,fixed,
event_46,user_01,expense,Bulk pantry shop,groceries,debit,602.87,ZAR,2023-12-08,2023-12-08,settled,,fixed,
event_47,user_01,expense,Local market purchase,groceries,debit,765.64,ZAR,2023-12-15,2023-12-15,settled,,fixed,
event_48,user_01,expense,Fresh food shop,groceries,debit,651.12,ZAR,2023-12-22,2023-12-22,settled,,fixed,
event_49,user_01,expense,Fresh food shop,groceries,debit,899.04,ZAR,2023-12-29,2023-12-29,settled,,fixed,
event_50,user_01,expense,Neighbourhood grocer,groceries,debit,961.46,ZAR,2024-01-05,2024-01-05,settled,,fixed,
event_51,user_01,expense,Supermarket basket,groceries,debit,875.35,ZAR,2024-01-12,2024-01-12,settled,,fixed,
event_52,user_01,expense,Household groceries,groceries,debit,756.39,ZAR,2024-01-19,2024-01-19,settled,,fixed,
event_53,user_01,expense,Supermarket basket,groceries,debit,624.94,ZAR,2024-01-26,2024-01-26,settled,,fixed,
event_54,user_01,expense,Household groceries,groceries,debit,719.51,ZAR,2024-02-02,2024-02-02,settled,,fixed,
event_55,user_01,expense,Neighbourhood grocer,groceries,debit,755.11,ZAR,2024-02-09,2024-02-09,settled,,fixed,
event_56,user_01,expense,Supermarket basket,groceries,debit,881.22,ZAR,2024-02-16,2024-02-16,settled,,fixed,
event_57,user_01,expense,Grocery delivery,groceries,debit,626.01,ZAR,2024-02-23,2024-02-23,settled,,fixed,
event_58,user_01,expense,Local market purchase,groceries,debit,964.05,ZAR,2024-03-01,2024-03-01,settled,,fixed,
event_59,user_01,expense,Commuter pass,transport,debit,399.02,ZAR,2023-09-09,2023-09-09,settled,,fixed,
