user_id,home_currency,current_available_balance,minimum_balance_to_keep,financial_priorities,expense_categories_to_protect,expense_categories_user_is_willing_to_reduce,expense_categories_user_is_willing_to_stop,payment_methods_user_will_consider,max_installment_months
user_01,ZAR,58481.1,18000,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,full_payment,
user_02,IDR,60383889.2,29158400,education|family_support,housing|utilities|education,entertainment,cloud_storage,partial_payment|installments,7
user_03,IDR,5810300,2668700,retirement_investment|emergency_savings,rent|utilities|groceries,streaming|shopping,streaming|cloud_storage,full_payment|partial_payment|installments,2
user_04,IDR,52206950,30686600,education|emergency_savings,rent|groceries|transport,entertainment,music_subscription,full_payment,
user_05,ZAR,46475.1,13100,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,4
user_06,EUR,1942.4,800,emergency_savings|travel,rent|insurance|transport,,streaming,full_payment|partial_payment,
user_07,INR,218945.56,93000,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,12
user_08,EUR,1536.57,800,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment,
user_09,EUR,2231.1,600,retirement_investment|emergency_savings,rent|utilities|groceries,,,full_payment|partial_payment|installments,2
user_10,INR,750155,225400,education|emergency_savings,rent|groceries|transport,dining|gym|entertainment,music_subscription|delivery_membership,partial_payment|installments,6
user_11,IDR,63531795,34140600,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment,
user_12,ZAR,193089.89,43200,retirement_investment|emergency_savings,rent|utilities|groceries,dining|shopping,streaming,partial_payment|installments,11
user_13,EUR,2789.52,1300,education|emergency_savings,rent|groceries|transport,gym,music_subscription|delivery_membership,full_payment,
user_14,EUR,3931.74,2200,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment,
user_15,EUR,1770.05,1200,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,partial_payment,
user_16,INR,362370,122400,emergency_savings|housing,rent|groceries|transport,,,full_payment|installments,2
user_17,INR,550379.58,166100,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,installments,3
user_18,EUR,2486,1400,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment|partial_payment,
user_19,INR,199545,92800,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment|installments,2
user_20,INR,102609.05,64500,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment|partial_payment|installments,11
user_21,USD,3911.35,1800,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,streaming|cloud_storage,full_payment,
user_22,EUR,1132.46,500,education|emergency_savings,rent|groceries|transport,,gym|music_subscription,installments,6
user_23,ZAR,51957.9,27000,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,12
user_24,INR,85045,51000,emergency_savings|travel,rent|insurance|transport,dining|streaming,streaming|cloud_storage,partial_payment,
user_25,IDR,32063050,23379100,emergency_savings|travel,rent|insurance|transport,,,full_payment|installments,3
user_26,IDR,100845250,24768300,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,streaming,full_payment|installments,5
user_27,ZAR,93141.8,20500,education|emergency_savings,rent|groceries|transport,,delivery_membership,full_payment|partial_payment,
user_28,EUR,1789.4,1100,emergency_savings|housing,rent|groceries|transport,,streaming|cloud_storage,full_payment,
user_29,ZAR,113540.1,28300,education|family_support,housing|utilities|education,dining,,full_payment|partial_payment|installments,5
user_30,USD,3752.72,900,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming,streaming,partial_payment|installments,4
user_31,IDR,30429260,16588900,education|emergency_savings,rent|groceries|transport,dining,,full_payment|installments,6
user_32,ZAR,69005.8,35700,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,full_payment|partial_payment,
user_33,INR,167280,102100,emergency_savings|travel,rent|insurance|transport,streaming|shopping|entertainment,streaming|cloud_storage,full_payment|partial_payment,
user_34,INR,559752.5,138500,retirement_investment|emergency_savings,rent|utilities|groceries,dining,streaming|cloud_storage,full_payment|partial_payment,
user_35,INR,231530,106400,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,full_payment,
user_36,USD,3846.6,2400,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,,full_payment,
user_37,IDR,29125000,17056200,emergency_savings|housing,rent|groceries|transport,streaming,,full_payment|partial_payment,
user_38,EUR,779.4,400,education|family_support,housing|utilities|education,dining,cloud_storage,full_payment,
user_39,INR,416505,213400,emergency_savings|travel,rent|insurance|transport,streaming,,full_payment|partial_payment,
user_40,EUR,2394,1500,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,full_payment|installments,5
user_41,IDR,50175850,25366600,emergency_savings|travel,rent|insurance|transport,dining|streaming|shopping,,full_payment|partial_payment,
user_42,INR,261765,113100,emergency_savings|travel,rent|insurance|transport,dining,,full_payment,
user_43,IDR,36640750,21398000,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment|partial_payment,
user_44,INR,162290,82900,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,full_payment|installments,4
user_45,IDR,19982900,11149800,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment|partial_payment|installments,4
user_46,INR,202335,84000,emergency_savings|housing,rent|groceries|transport,streaming,streaming|cloud_storage,partial_payment|installments,7
user_47,IDR,112924150,30049000,education|emergency_savings,rent|groceries|transport,dining|entertainment,gym|music_subscription|delivery_membership,full_payment|installments,10
user_48,INR,188065,71300,emergency_savings|travel,rent|insurance|transport,streaming,cloud_storage,full_payment,
