request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,25122.03,not_affordable,not_recommended,none,2024-07-15,none,Do not make this payment by 2024-08-16. None of the available options keeps the ZAR 32500 minimum protected.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 2314.86 available."
request_103,14737.21,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-10-07. None of the available options keeps the INR 125500 minimum protected.
request_104,7900.42,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 24700 minimum protected.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This leaves at least INR 73900 available over the next 90 days.
request_106,459.88,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2207.70 in full. Paying earlier would put the EUR 1200 minimum at risk."
request_107,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1600 minimum protected.
request_108,1754.06,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24100 minimum protected.
request_109,691.29,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1718.53 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 25172.60 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,25888.65,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait until 2026-09-15, then pay INR 36500 in full. Paying earlier would put the INR 82300 minimum at risk."
request_114,49326.13,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Wait until 2026-01-15, then pay INR 65300 in full. Paying earlier would put the INR 113400 minimum at risk."
request_115,14848.08,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 80500 in full. Paying earlier would put the INR 38800 minimum at risk."
request_116,9538.59,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-16. None of the available options keeps the INR 80300 minimum protected.
request_117,857.35,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833|reduce_to:event_10878:20.50,Pay EUR 880 today. This leaves at least EUR 1000 available over the next 90 days.
request_118,668.90,not_affordable,not_recommended,none,2025-01-15,none,Do not make this payment by 2025-02-08. None of the available options keeps the EUR 600 minimum protected.
request_119,52488.53,not_affordable,not_recommended,none,2025-07-15,none,Do not make this payment by 2025-07-17. None of the available options keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 30776717.20 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1553.48,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1693.97 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This leaves at least ZAR 11300 available over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,9287.58,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 2024-10-15, then pay ZAR 23980 in full. Paying earlier would put the ZAR 41000 minimum at risk."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,113.97,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800 minimum protected.
request_130,463.35,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,"Wait until 2025-01-15, then pay USD 1978.80 in full. Paying earlier would put the USD 1400 minimum at risk."
request_131,1471.72,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1593.91 available."
request_132,378.09,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Wait until 2026-01-15, then pay USD 379.86 in full. Paying earlier would put the USD 1100 minimum at risk."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9986200 minimum protected.
request_134,4951557.04,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 2025-10-15, then pay IDR 21831000 in full. Paying earlier would put the IDR 15902500 minimum at risk."
request_135,284.76,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,529.35,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,Pay USD 560.40 today. This leaves at least USD 1100 available over the next 90 days.
request_137,33581.55,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Wait until 2026-01-15, then pay INR 80100 in full. Paying earlier would put the INR 71800 minimum at risk."
request_138,905.60,affordable_with_plan,partial_payment,2026-04-07:905.60|2026-04-15:351.34,2026-04-15,none,"Pay EUR 905.60 today, then EUR 351.34 on 2026-04-15. The balance stays above EUR 2300."
request_139,1775.07,not_affordable,not_recommended,none,2024-10-15,none,Do not make this payment by 2024-11-17. None of the available options keeps the USD 1500 minimum protected.
request_140,4184.61,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21600 minimum protected.
request_141,24439.03,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-02-12. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. This leaves at least USD 1700 available over the next 90 days.
request_143,3023.84,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 2025-07-15, then pay ZAR 12584 in full. Paying earlier would put the ZAR 11300 minimum at risk."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,28335.57,not_affordable,not_recommended,none,2024-05-15,none,Do not make this payment by 2024-05-26. None of the available options keeps the INR 155400 minimum protected.
request_146,20624.16,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-17. None of the available options keeps the INR 108600 minimum protected.
request_147,407.86,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 916.23 available."
request_148,7120.37,not_affordable,not_recommended,none,2024-08-15,none,Do not make this payment by 2024-08-18. None of the available options keeps the ZAR 20000 minimum protected.
request_149,9567.36,not_affordable,not_recommended,none,2026-01-15,none,Do not make this payment by 2026-01-19. None of the available options keeps the ZAR 42100 minimum protected.
request_150,266.78,not_affordable,not_recommended,none,2026-03-15,none,Do not make this payment by 2026-03-16. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,11883.16,not_affordable,not_recommended,none,2025-04-15,none,Do not make this payment by 2025-04-13. None of the available options keeps the ZAR 11900 minimum protected.
request_153,131.50,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-24. None of the available options keeps the USD 1400 minimum protected.
request_154,1533.39,affordable_with_plan,installments,2024-12-07:91.35|2025-01-04:91.35|2025-02-01:91.35|2025-03-01:91.35|2025-03-29:91.35|2025-04-26:91.35|2025-05-24:91.35|2025-06-21:91.35|2025-07-19:91.35|2025-08-16:91.35|2025-09-13:91.35|2025-10-11:91.35|2025-11-08:91.35|2025-12-06:91.35|2026-01-03:91.35|2026-01-31:91.35|2026-02-28:91.35|2026-03-28:91.35|2026-04-25:91.35|2026-05-23:91.35|2026-06-20:91.35,2025-02-20,reduce_to:event_14186:27.20,"Use 21 installments of EUR 91.35, starting 2024-12-07. This leaves at least EUR 2670.82 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,8525.28,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 43076 in full. Paying earlier would put the ZAR 26900 minimum at risk."
request_157,5386255.24,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Wait until 2024-04-15, then pay IDR 23503000 in full. Paying earlier would put the IDR 15714100 minimum at risk."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 431918.04 available."
request_159,9753.47,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-20. None of the available options keeps the ZAR 8700 minimum protected.
