payment_option_id,request_id,payment_method,payment_amount,number_of_payments,first_payment_date,payment_frequency_days,financing_fee,total_payable_amount
payment_option_01,request_01,full_payment,25256,1,2024-03-03,,0,25256
payment_option_02,request_01,installments,1852.11,15,2024-03-06,30,2525.65,27781.65
payment_option_03,request_01,installments,4546.08,6,2024-03-10,31,2020.48,27276.48
payment_option_04,request_01,installments,1283.85,24,2024-03-17,28,5556.4,30812.4
payment_option_05,request_02,installments,15952906.67,3,2025-08-08,30,1840720.01,47858720.01
payment_option_06,request_02,full_payment,46018000,1,2025-08-05,,0,46018000
payment_option_07,request_02,installments,2914473.33,18,2025-08-12,31,6442519.94,52460519.94
payment_option_08,request_03,full_payment,5491000,1,2019-09-03,,0,5491000
payment_option_09,request_03,installments,308541.9,21,2019-09-17,28,988379.9,6479379.9
payment_option_10,request_03,installments,279125.83,24,2019-09-06,31,1208019.92,6699019.92
payment_option_11,request_04,full_payment,12693000,1,2024-06-04,,0,12693000
payment_option_12,request_04,installments,875817,15,2024-06-04,30,444255,13137255
payment_option_13,request_05,full_payment,15488,1,2025-11-06,,0,15488
payment_option_14,request_05,installments,980.91,18,2025-11-09,31,2168.38,17656.38
payment_option_15,request_05,installments,787.31,24,2025-11-20,30,3407.44,18895.44
payment_option_16,request_06,full_payment,620.4,1,2026-01-03,,0,620.4
payment_option_17,request_06,installments,34.86,21,2026-01-10,28,111.66,732.06
payment_option_18,request_06,installments,111.67,6,2026-01-17,30,49.62,670.02
payment_option_19,request_07,installments,68432,3,2024-09-12,28,7896,205296
payment_option_20,request_07,full_payment,197400,1,2024-09-05,,0,197400
payment_option_21,request_07,installments,14476,15,2024-09-19,30,19740,217140
payment_option_22,request_08,full_payment,996.6,1,2025-02-07,,0,996.6
payment_option_23,request_08,installments,63.12,18,2025-02-07,31,139.56,1136.16
payment_option_24,request_09,full_payment,166.61,1,2026-07-04,,0,166.61
payment_option_25,request_09,installments,8.22,21,2026-07-07,28,6.01,172.62
payment_option_26,request_09,installments,7.29,24,2026-07-18,31,8.35,174.96
payment_option_27,request_10,full_payment,266700,1,2024-12-06,,0,266700
payment_option_28,request_10,installments,19558,15,2024-12-13,30,26670,293370
payment_option_29,request_11,full_payment,13110000,1,2025-05-03,,0,13110000
payment_option_30,request_11,installments,830300,18,2025-05-17,31,1835400,14945400
payment_option_31,request_11,installments,2359800,6,2025-05-03,28,1048800,14158800
payment_option_32,request_11,installments,666425,24,2025-05-06,30,2884200,15994200
payment_option_33,request_12,installments,22590.19,3,2026-04-19,31,2606.57,67770.57
payment_option_34,request_12,full_payment,65164,1,2026-04-05,,0,65164
payment_option_35,request_12,installments,3661.6,21,2026-04-05,28,11729.6,76893.6
payment_option_36,request_13,full_payment,941.6,1,2024-03-07,,0,941.6
payment_option_37,request_13,installments,69.05,15,2024-03-10,30,94.15,1035.75
payment_option_38,request_13,installments,47.86,24,2024-03-21,28,207.04,1148.64
payment_option_39,request_14,full_payment,5414.2,1,2025-08-04,,0,5414.2
payment_option_40,request_14,installments,342.9,18,2025-08-11,31,758,6172.2
payment_option_41,request_15,full_payment,3685,1,2026-01-06,,0,3685
payment_option_42,request_15,installments,207.06,21,2026-01-20,28,663.26,4348.26
payment_option_43,request_15,installments,187.32,24,2026-01-09,31,810.68,4495.68
payment_option_44,request_16,full_payment,122500,1,2023-08-12,,0,122500
payment_option_45,request_16,installments,8983.33,15,2023-08-12,30,12249.95,134749.95
payment_option_46,request_16,installments,22050,6,2023-08-15,31,9800,132300
payment_option_47,request_17,installments,95194.67,3,2026-03-01,30,10984.01,285584.01
payment_option_48,request_17,full_payment,274600,1,2026-03-01,,0,274600
payment_option_49,request_17,installments,17391.33,18,2026-03-04,31,38443.94,313043.94
payment_option_50,request_18,full_payment,3246.1,1,2026-07-07,,0,3246.1
payment_option_51,request_18,installments,182.4,21,2026-07-14,28,584.3,3830.4
payment_option_52,request_19,full_payment,39660,1,2024-09-04,,0,39660
payment_option_53,request_19,installments,20623.2,2,2024-09-04,28,1586.4,41246.4
payment_option_54,request_19,installments,14013.2,3,2024-09-10,31,2379.6,42039.6
payment_option_55,request_20,full_payment,303700,1,2026-02-07,,0,303700
payment_option_56,request_20,installments,19234.33,18,2026-02-07,31,42517.94,346217.94
payment_option_57,request_21,full_payment,1574.4,1,2026-04-03,,0,1574.4
payment_option_58,request_21,installments,88.47,21,2026-04-06,28,283.47,1857.87
payment_option_59,request_21,installments,283.39,6,2026-04-10,30,125.94,1700.34
payment_option_60,request_21,installments,80.03,24,2026-04-17,31,346.32,1920.72
