request_id,pred_status,gt_status,pred_amount,gt_amount,error_category,category_desc
req_23a29052,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_afd9b257,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8ebe87f2,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_6ece8f35,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_c78f25cd,affordable_now,,4719.0,0.0,C,recurring-expense forecasting
req_6b2b9485,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_04f8bf33,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_21e6ef68,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_450fef70,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_35318f5c,affordable_now,,11711.0,0.0,C,recurring-expense forecasting
req_65f422c3,affordable_now,,11085.0,0.0,C,recurring-expense forecasting
req_28eda4f1,affordable_now,,16926.0,0.0,C,recurring-expense forecasting
req_eb61ad6b,affordable_now,,5930.0,0.0,C,recurring-expense forecasting
req_0369fe14,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_fbf4f662,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_3c2a51e8,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_84b9458d,affordable_now,,11463.0,0.0,C,recurring-expense forecasting
req_351b822b,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_3518800d,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_77610cd5,affordable_now,,1592.0,0.0,C,recurring-expense forecasting
req_47ecad32,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_ee80fe90,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_902854c8,affordable_now,,10002.0,0.0,C,recurring-expense forecasting
req_e9b62c06,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_f6a2b810,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_67176e77,affordable_now,,10054.0,0.0,C,recurring-expense forecasting
req_e7f7a7a1,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_e7120319,affordable_now,,13104.0,0.0,C,recurring-expense forecasting
req_a8e6f209,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_339fdc1f,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_93532c3d,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d4b8f7fe,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_7286d6cd,affordable_now,,6637.0,0.0,C,recurring-expense forecasting
req_950f595a,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_814a89a6,affordable_now,,12895.0,0.0,C,recurring-expense forecasting
req_8000970b,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_ce41b736,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_e5b8ad0d,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_04c5dc9a,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_09b0dc5e,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_e5f79ed3,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8d65f1c1,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_e5a02951,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_cf3b5eff,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_bdac01b6,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_b1da7fe3,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_e0b5be46,affordable_now,,6341.0,0.0,C,recurring-expense forecasting
req_fe9618da,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8b39f93a,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_30c89337,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_103e825f,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_edafb00a,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_81a52169,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_4999bcf3,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_aba5c279,affordable_now,,18494.0,0.0,C,recurring-expense forecasting
req_c2f05818,affordable_now,,11564.0,0.0,C,recurring-expense forecasting
req_a9ce9453,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d18406a7,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d69e9ba3,affordable_now,,8510.0,0.0,C,recurring-expense forecasting
req_61331ebd,affordable_now,,10802.0,0.0,C,recurring-expense forecasting
req_26267bb8,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d9240549,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_93893d71,affordable_now,,15153.0,0.0,C,recurring-expense forecasting
req_84ac6916,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_0ea91765,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_62182927,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d5509a1d,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_1fd86106,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_4aa17d52,affordable_now,,1449.0,0.0,C,recurring-expense forecasting
req_39ba00eb,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_f76d052a,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d6f2a1b1,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_a1036f99,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_60a54bfe,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_f47ec90f,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_3d283640,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_fe86b76b,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_1c9c3613,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_b50bbf83,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_61eba812,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_4810e062,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_6a58edc1,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_8e30f167,affordable_now,,12765.0,0.0,C,recurring-expense forecasting
req_4e87f337,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d641a5fd,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_a46b3722,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_9a4e92ea,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_3d5f5e44,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_810419d8,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_a274f5e6,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_9dcfc018,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_34ee8459,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_2962eea6,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_b6bda7ee,affordable_now,,2171.0,0.0,C,recurring-expense forecasting
req_1ab062e2,affordable_now,,17344.0,0.0,C,recurring-expense forecasting
req_9ab332ea,affordable_now,,6838.0,0.0,C,recurring-expense forecasting
req_58600fcf,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_b73efc28,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_388d5758,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_9f199b43,affordable_now,,12526.0,0.0,C,recurring-expense forecasting
req_5bec4c85,affordable_now,,800.0,0.0,C,recurring-expense forecasting
req_e0d82f3b,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_04adbfdd,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_d7b2c1dd,affordable_now,,4134.0,0.0,C,recurring-expense forecasting
req_54ad46a7,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_0199151e,affordable_now,,7493.0,0.0,C,recurring-expense forecasting
req_4aa24b1f,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_1247a477,affordable_now,,16909.0,0.0,C,recurring-expense forecasting
req_e5125690,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_7269bca1,affordable_now,,16785.0,0.0,C,recurring-expense forecasting
req_ae768d99,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_5a8bd68a,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_0e7ae9ed,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_30ee277b,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_12535d91,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_1f9e4850,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_f5318f7b,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_439f6f4f,not_affordable,,0.0,0.0,C,recurring-expense forecasting
req_0b423c6d,not_affordable,,0.0,0.0,C,recurring-expense forecasting
