request_id,user_id,category,direction,event_type,flexibility,n_observations,n_recent,amounts_str,strat_median,strat_most_recent,strat_mean,strat_ewma,strat_trimmed,current_forecast
request_01,user_01,rent,debit,expense,fixed,6,6,5148.0|5148.0|5148.0|5148.0|5148.0|5148.0,5148.0,5148.0,5148.0,5148.0,5148.0,5148.0
request_01,user_01,utilities,debit,expense,fixed,5,5,1475.46|1483.81|1541.75|1651.81|1386.17,1483.81,1386.17,1507.8,1496.31,1500.34,1483.81
request_01,user_01,education,debit,expense,fixed,5,5,1821.6|1821.6|1821.6|1821.6|1821.6,1821.6,1821.6,1821.6,1821.6,1821.6,1821.6
request_01,user_01,debt_repayment,debit,debt_payment,fixed,5,5,3487.0|3487.0|3487.0|3487.0|3487.0,3487.0,3487.0,3487.0,3487.0,3487.0,3487.0
request_01,user_01,music_subscription,debit,subscription,fixed,5,5,235.4|235.4|235.4|235.4|235.4,235.4,235.4,235.4,235.4,235.4,235.4
request_01,user_01,delivery_membership,debit,subscription,stoppable,5,5,306.9|306.9|306.9|306.9|306.9,306.9,306.9,306.9,306.9,306.9,306.9
request_01,user_01,salary,credit,income,fixed,2,2,12826.0|23320.0,18073.0,23320.0,18073.0,15974.2,18073.0,18073.0
request_01,user_01,groceries,debit,expense,fixed,26,26,925.62|939.13|707.36|629.96|873.17|915.12|644.3|663.27|1030.1|672.37|803.55|644.43|882.48|602.87|765.64|651.12|899.04|961.46|875.35|756.39|624.94|719.51|755.11|881.22|626.01|964.05,761.01,964.05,785.14,807.28,782.52,761.01
request_01,user_01,transport,debit,expense,fixed,26,26,399.02|549.8|468.47|428.92|373.05|503.02|351.49|553.74|421.89|347.86|518.04|444.56|323.58|478.16|534.56|411.07|374.6|358.85|434.69|375.73|560.21|406.54|488.36|424.56|549.05|339.29,426.74,339.29,439.2,434.63,438.97,426.74
request_01,user_01,dining,debit,expense,reducible,13,13,1213.78|1243.56|1128.35|1027.06|1070.17|956.7|1160.42|972.88|914.64|1017.11|1222.49|1016.12|1216.17,1070.17,1216.17,1089.19,1106.81,1091.02,1070.17
request_01,user_01,shopping,debit,expense,fixed,2,2,583.0|816.2,699.6,816.2,699.6,652.96,699.6,699.6
request_02,user_02,salary,credit,income,fixed,5,5,33345000.0|33345000.0|33345000.0|33345000.0|33345000.0,33345000.0,33345000.0,33345000.0,33345000.0,33345000.0,33345000.0
request_02,user_02,housing,debit,expense,fixed,6,6,3534000.0|3534000.0|3534000.0|3534000.0|3534000.0|3534000.0,3534000.0,3534000.0,3534000.0,3534000.0,3534000.0,3534000.0
request_02,user_02,utilities,debit,expense,fixed,5,5,2143659.02|2081730.85|1830311.06|1981601.61|2141849.94,2081730.85,2141849.94,2035830.5,2056649.68,2068394.13,2081730.85
request_02,user_02,insurance,debit,expense,fixed,5,5,1132400.0|1132400.0|1132400.0|1132400.0|1132400.0,1132400.0,1132400.0,1132400.0,1132400.0,1132400.0,1132400.0
request_02,user_02,education,debit,expense,fixed,5,5,3040000.0|3040000.0|3040000.0|3040000.0|3040000.0,3040000.0,3040000.0,3040000.0,3040000.0,3040000.0,3040000.0
request_02,user_02,healthcare,debit,expense,fixed,5,5,1594883.08|1467514.81|1452405.16|1641668.72|1538498.1,1538498.1,1538498.1,1538993.97,1553742.12,1533632.0,1538498.1
request_02,user_02,entertainment,debit,expense,reducible,5,5,1289187.4|1367779.89|1287628.28|1193699.1|1352563.79,1289187.4,1352563.79,1298171.69,1296005.75,1309793.16,1289187.4
request_02,user_02,cloud_storage,debit,subscription,stoppable,5,5,369550.0|369550.0|369550.0|369550.0|369550.0,369550.0,369550.0,369550.0,369550.0,369550.0,369550.0
request_02,user_02,groceries,debit,expense,fixed,18,18,2477697.53|1667911.86|1418745.34|1455258.76|1920485.7|1630631.42|1664708.05|1478895.05|2192475.45|1852958.27|2030400.43|1611886.08|2158165.32|2222527.88|2079368.25|2218141.61|2365919.6|1913686.86,1917086.28,1913686.86,1908881.3,2092700.51,1903963.79,1917086.28
request_02,user_02,transport,debit,expense,fixed,13,13,1373039.34|995704.83|1062246.98|1053078.61|1294200.86|1440242.94|1021628.43|1374936.26|1329347.44|1309608.46|1111352.32|1327886.54|1062310.27,1294200.86,1062310.27,1211967.94,1201440.42,1210875.96,1294200.86
request_02,user_02,dining,debit,expense,fixed,9,9,1166644.88|1101709.76|935929.08|1271076.93|971169.92|1111388.15|947892.35|1043758.65|1204805.34,1101709.76,1204805.34,1083819.45,1095882.53,1078195.58,1101709.76
request_03,user_03,salary,credit,income,fixed,6,6,4365000.0|4365000.0|4365000.0|4365000.0|4365000.0|1964250.0,4365000.0,1964250.0,3964875.0,3644775.0,4365000.0,4365000.0
request_03,user_03,rent,debit,expense,fixed,5,5,1140000.0|1140000.0|1140000.0|1140000.0|1140000.0,1140000.0,1140000.0,1140000.0,1140000.0,1140000.0,1140000.0
request_03,user_03,utilities,debit,expense,fixed,5,5,295330.29|290684.15|270537.63|303042.45|262344.55,290684.15,262344.55,284387.81,282931.51,285517.36,290684.15
request_03,user_03,cloud_storage,debit,subscription,stoppable,5,5,20900.0|20900.0|20900.0|20900.0|20900.0,20900.0,20900.0,20900.0,20900.0,20900.0,20900.0
request_03,user_03,streaming,debit,subscription,reducible_or_stoppable,5,5,117800.0|117800.0|117800.0|117800.0|117800.0,117800.0,117800.0,117800.0,117800.0,117800.0,117800.0
request_03,user_03,shopping,debit,expense,reducible,5,5,151493.37|184274.02|153395.26|173930.81|180395.29,173930.81,180395.29,168697.75,168528.52,169240.45,173930.81
request_03,user_03,groceries,debit,expense,fixed,18,18,159576.52|234390.87|230312.98|234602.65|209875.85|178469.49|180577.99|155851.46|188355.72|166710.61|171495.67|145691.38|171259.18|173004.74|214266.98|221578.88|240706.45|200238.72,184466.85,200238.72,193164.79,206032.59,193160.52,184466.85
request_03,user_03,transport,debit,expense,fixed,9,9,81510.25|116319.21|71790.29|73531.06|106806.88|79693.97|83523.33|99961.13|106233.46,83523.33,106233.46,91041.06,94847.66,90180.01,83523.33
request_03,user_03,dining,debit,expense,fixed,9,9,117456.78|141412.46|146236.28|132247.64|158476.5|175170.67|171303.21|171191.99|135718.35,146236.28,135718.35,149912.65,153381.87,150940.92,146236.28
request_04,user_04,salary,credit,income,fixed,6,6,38190000.0|38190000.0|38190000.0|10498464.28|38190000.0|38190000.0,38190000.0,38190000.0,33574744.05,34119344.25,38190000.0,38190000.0
request_04,user_04,rent,debit,expense,fixed,6,6,12293000.0|12293000.0|12293000.0|12293000.0|12293000.0|12293000.0,12293000.0,12293000.0,12293000.0,12293000.0,12293000.0,12293000.0
request_04,user_04,utilities,debit,expense,fixed,5,5,2017103.37|1981052.47|2033868.83|1980834.82|2004118.6,2004118.6,2004118.6,2003395.62,2004346.43,2000758.15,2004118.6
