request_id,exp_amount,det_amount,exp_status,det_status,exp_method,det_method,exp_plan,det_plan,exp_date,det_date,exp_spending,det_spending,amt_ok,status_ok,method_ok,plan_ok,date_ok,spending_ok,exact_row,amt_error,elapsed_s
request_01,25256,25256,affordable_now,affordable_now,full_payment,full_payment,2024-03-03:25256,2024-03-03:25256,2024-03-03,2024-03-03,none,none,True,True,True,True,True,True,True,0.0,0.003
request_02,17229139.2,15113302.53,affordable_with_plan,not_affordable,installments,not_recommended,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,none,2025-09-15,2025-10-15,none,none,False,False,False,False,False,True,False,2115836.67,0.017
request_03,873000,1935968.08,affordable_later,affordable_later,wait,wait,2019-11-15:5491000,2019-11-15:5491000,2019-11-15,2019-11-15,none,none,False,True,True,True,True,True,False,1062968.08,0.015
request_04,8401800,12537089.32,affordable_later,affordable_later,wait,wait,2024-06-15:12693000,2024-06-15:12693000,2024-06-15,2024-06-15,none,none,False,True,True,True,True,True,False,4135289.32,0.008
request_05,737,15488,not_affordable,affordable_now,not_recommended,full_payment,none,2025-11-06:15488,,2025-11-06,none,none,False,False,False,False,False,True,False,14751.0,0.002
request_06,603.3,620.40,affordable_with_plan,affordable_now,full_payment,full_payment,2026-01-03:620.40,2026-01-03:620.40,2026-01-15,2026-01-03,stop:event_476,none,False,False,True,True,False,False,False,17.1,0.002
request_07,87170.56,95384.66,affordable_with_plan,affordable_with_plan,installments,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,2024-10-15,none,none,False,True,True,True,False,True,False,8214.1,0.009
request_08,284.57,378.73,affordable_later,not_affordable,wait,not_recommended,2025-04-15:996.60,none,2025-04-15,,none,none,False,False,False,False,False,True,False,94.16,0.015
request_09,166.61,166.61,affordable_now,affordable_now,full_payment,full_payment,2026-07-04:166.61,2026-07-04:166.61,2026-07-04,2026-07-04,none,none,True,True,True,True,True,True,True,0.0,0.002
request_10,12700,92090.81,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,False,True,True,True,True,True,False,79390.81,0.019
request_11,12510645,4554571.04,affordable_with_plan,affordable_later,full_payment,wait,2025-05-03:13110000,2025-07-15:13110000,2025-07-15,2025-07-15,reduce_to:event_989:665950,none,False,False,False,False,True,False,False,7956073.96,0.016
request_12,65164,65164,affordable_with_plan,affordable_with_plan,installments,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,2026-04-05,none,none,True,True,True,True,True,True,True,0.0,0.003
request_13,433.4,548.04,affordable_later,not_affordable,wait,not_recommended,2024-05-15:941.60,none,2024-05-15,,none,none,False,False,False,False,False,True,False,114.64,0.016
request_14,597.74,622.08,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,False,True,True,True,True,True,False,24.34,0.014
request_15,83.05,43.37,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,False,True,True,True,True,True,False,39.68,0.014
request_16,122500,122500,affordable_now,affordable_now,full_payment,full_payment,2023-08-12:122500,2023-08-12:122500,2023-08-12,2023-08-12,none,none,True,True,True,True,True,True,True,0.0,0.002
request_17,243849.58,245285.20,affordable_with_plan,affordable_with_plan,installments,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,2026-03-15,none,none,False,True,True,True,True,True,False,1435.62,0.007
request_18,462,655.45,affordable_later,affordable_later,wait,wait,2026-09-15:3246.10,2026-09-15:3246.10,2026-09-15,2026-09-15,none,none,False,True,True,True,True,True,False,193.45,0.013
request_19,28820,39660,affordable_with_plan,affordable_with_plan,partial_payment,installments,2024-09-04:28820|2024-09-15:10840,2024-09-04:20623.20|2024-10-02:20623.20,2024-09-15,2024-09-04,none,none,False,True,False,False,False,True,False,10840.0,0.002
request_20,5400,18443.60,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,False,True,True,True,True,True,False,13043.6,0.016
request_21,1543.35,1574.40,affordable_with_plan,affordable_now,full_payment,full_payment,2026-04-03:1574.40,2026-04-03:1574.40,2026-04-15,2026-04-03,stop:event_1815|reduce_to:event_1816:23.50,none,False,False,True,True,False,False,False,31.05,0.002
request_22,475.46,483.41,affordable_with_plan,affordable_with_plan,installments,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,2025-01-15,none,none,False,True,True,True,True,True,False,7.95,0.01
request_23,9152,11729.91,affordable_later,affordable_later,wait,wait,2025-07-15:38016,2025-07-15:38016,2025-07-15,2025-07-15,none,none,False,True,True,True,True,True,False,2577.91,0.013
request_24,13420,20692.36,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,False,True,True,True,True,True,False,7272.36,0.02
request_25,1425000,1828252.28,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,False,True,True,True,True,True,False,403252.28,0.018
