request_id,exp_amount,det_median,err_median,det_most_recent,err_most_recent,det_mean,err_mean,det_ewma,err_ewma,det_trimmed,err_trimmed,best_strategy,best_error
request_02,17229139.2,14994649.42,2234489.78,15109843.35,2119295.85,15129712.49,2099426.71,14739200.20,2489939.0,15101816.34,2127322.86,mean,2099426.71
request_03,873000,1928115.06,1055115.06,22299.13,850700.87,1918572.21,1045572.21,1890992.92,1017992.92,1915880.23,1042880.23,most_recent,850700.87
request_04,8401800,12546436.63,4144636.63,12288031.38,3886231.38,12612681.69,4210881.69,12511455.84,4109655.84,12596849.66,4195049.66,most_recent,3886231.38
request_05,737,15488.00,14751.0,15488.00,14751.0,15488.00,14751.0,15488.00,14751.0,15488.00,14751.0,median,14751.0
request_06,603.3,620.40,17.1,620.40,17.1,620.40,17.1,620.40,17.1,620.40,17.1,median,17.1
request_07,87170.56,94960.66,7790.1,97370.34,10199.78,95384.66,8214.1,95830.75,8660.19,95330.96,8160.4,median,7790.1
request_08,284.57,380.12,95.55,0.00,284.57,291.52,6.95,156.11,128.46,374.46,89.89,mean,6.95
request_10,12700,92589.11,79889.11,82621.97,69921.97,88365.39,75665.39,97510.08,84810.08,88819.67,76119.67,most_recent,69921.97
request_11,12510645,4140022.71,8370622.29,0.00,12510645.0,0.00,12510645.0,0.00,12510645.0,15240.15,12495404.85,median,8370622.29
request_13,433.4,546.70,113.3,711.51,278.11,313.31,120.09,499.74,66.34,371.88,61.52,trimmed,61.52
request_14,597.74,628.22,30.48,586.38,11.36,616.29,18.55,611.96,14.22,618.20,20.46,most_recent,11.36
request_15,83.05,41.75,41.3,30.25,52.8,38.19,44.86,38.78,44.27,39.52,43.53,median,41.3
request_17,243849.58,245429.81,1580.23,247352.35,3502.77,244698.67,849.09,244433.12,583.54,244533.80,684.22,ewma,583.54
request_18,462,658.46,196.46,646.82,184.82,657.32,195.32,653.73,191.73,657.44,195.44,most_recent,184.82
request_19,28820,39660.00,10840.0,39660.00,10840.0,39660.00,10840.0,39660.00,10840.0,39660.00,10840.0,median,10840.0
request_20,5400,18307.32,12907.32,16559.51,11159.51,18413.73,13013.73,17816.66,12416.66,18363.30,12963.3,most_recent,11159.51
request_21,1543.35,1574.40,31.05,1574.40,31.05,1574.40,31.05,1574.40,31.05,1574.40,31.05,median,31.05
request_22,475.46,482.97,7.51,478.87,3.41,482.75,7.29,482.78,7.32,482.81,7.35,most_recent,3.41
request_23,9152,11690.86,2538.86,12237.10,3085.1,11704.28,2552.28,11894.60,2742.6,11679.55,2527.55,trimmed,2527.55
request_24,13420,20767.26,7347.26,20367.01,6947.01,20712.19,7292.19,20714.56,7294.56,20775.15,7355.15,most_recent,6947.01
request_25,1425000,1817423.79,392423.79,1530242.31,105242.31,1870353.20,445353.2,1832669.67,407669.67,1857785.38,432785.38,most_recent,105242.31
